battery_id,capacity_mean_100,capacity_at_100,capacity_min_100,ir_mean_100,temp_mean_100,temp_max_100,charge_time_mean_100,cycle_life,capacity_drop
B001,1.0805965747474746,1.0759126,1.0706892,0.01664332204040404,31.603747328822767,35.994705,13.384230505050487,1190.0,0.004683974747474506
B002,1.0812468797979797,1.0806297,1.0753012,0.016750843414141414,31.330314306927445,34.712265,13.374696464646446,1179.0,0.0006171797979797056
B003,1.0853711969696969,1.0849404,1.0799223,0.016599594979797978,31.479584113211217,35.127342,13.378886329966337,1177.0,0.0004307969696968339
B004,1.0849489696969696,1.0847498,1.0797229,0.01614615604040404,29.942198807956427,31.691414,12.053277171717168,1226.0,0.0001991696969696477
B005,1.0828435313131313,1.0826457,1.0780181,0.016500513575757575,31.448883834165642,35.651741,12.053313636363642,1227.0,0.00019783131313122482
B006,1.0803274434343435,1.0797794,1.075169,0.016270388575757574,30.92149771366389,34.654667,15.075768030303088,1074.0,0.0005480434343434482
B007,1.0809117848484848,1.0792426,1.0758358,0.016507268545454545,32.27384521945563,36.496124,10.04485760942758,636.0,0.0016691848484848837
B008,1.0969264323232324,1.0957625,1.0938644,0.016050141454545454,31.99008450921703,36.053928,10.044094528619514,870.0,0.0011639323232324195
B009,1.0947719373737375,1.0941359,1.0899748,0.016711705707070708,32.076506270161325,35.160984,11.243611632996629,879.0,0.0006360373737375191
B010,1.0876998484848486,1.0876312,1.0829742,0.01683536523232323,32.64153361126789,36.799232,11.241857609427619,1054.0,6.86484848486657e-05
B011,1.0817046181818182,1.0816405,1.0752757,0.016396655616161618,33.208150668462316,37.614693,11.68804023569027,906.0,6.411818181817353e-05
B012,1.0600838858585857,1.0599719,1.0537786,0.01603708411111111,32.75932260623101,37.128967,11.684114427609464,788.0,0.00011198585858562815
B013,1.0821552232323233,1.0819131,1.077566,0.01643905623232323,33.458021914142805,38.354816,10.68385405723906,902.0,0.00024212323232331023
B014,1.0842732373737374,1.0836461,1.0797893,0.01703655094949495,32.09216634315907,35.892479,10.685353013468022,897.0,0.0006271373737374297
B015,1.0761029171717171,1.0762016,1.0708272,0.016975001838383838,33.07746279993842,37.818813,14.925935387205387,880.0,-9.868282828295882e-05
B016,1.067656885858586,1.0677497,1.0611236,0.016839986434343434,33.147720104395674,38.47617,14.92770846801342,719.0,-9.281414141404376e-05
B017,1.0864695565656566,1.0863206,1.0811664,0.016528862282828283,32.41716254671688,37.566532,10.12547436026938,862.0,0.0001489565656564995
B018,1.0771062363636363,1.0769763,1.072052,0.016676227535353534,32.08875385853444,37.208405,10.13811205387206,857.0,0.0001299363636362294
B019,1.086443382828283,1.0645274,1.0638232,0.018004754414141413,31.831057275618022,36.084282,9.925956313131318,691.0,0.021915982828282887
B020,1.0883684717171715,1.0870851,1.0851147,0.01632486908080808,33.044085397077396,37.49086,9.930255336700306,788.0,0.001283371717171633
B021,1.0698410858585858,1.0612478,1.0612478,0.01505672603030303,32.152922017545066,35.504932,9.027207626262614,534.0,0.008593285858585764
B022,1.082226497979798,1.0767291,1.0767291,0.014937809606060606,33.136973711356525,37.615559,8.987271380471347,559.0,0.005497397979797869
B023,1.082979815151515,1.0820541,1.0793039,0.016591973303030305,32.84391283877385,37.758316,11.462912154882178,891.0,0.0009257151515151829
B024,1.0824610575757574,1.0816909,1.0792934,0.016824002585858585,31.990774547174937,36.165897,11.458691784511789,1014.0,0.0007701575757574908
B025,1.0780331868686868,1.0776314,1.0745355,0.01658744888888889,33.378063951824195,37.596226,12.128487205387227,1017.0,0.00040178686868674873
B026,1.078847887878788,1.0780438,1.0752345,0.0165961417979798,33.8485570739493,38.670872,12.137498080808081,854.0,0.0008040878787878292
B027,1.0905742878787879,1.0893713,1.0870471,0.016285491838383837,33.15641406115227,37.077717,10.800664208754245,870.0,0.001202987878787809
B028,1.0820360393939394,1.0810226,1.0790461,0.016098906666666666,33.89497000372244,38.178074,10.803712340067367,842.0,0.001013439393939386
B029,1.0806956292929293,1.0796947,1.0777475,0.016680037545454544,33.773800525042,38.303513,11.13825358585859,860.0,0.0010009292929293867
B030,1.082782821212121,1.0818107,1.0794537,0.016545523626262625,32.70415601771739,36.258759,11.151875336700318,917.0,0.000972121212121202
B031,1.082823717171717,1.0814074,1.0798637,0.01600942625252525,33.54008830692456,37.483994,10.124524292929317,709.0,0.0014163171717169742
B032,1.097068405050505,1.0953494,1.0946392,0.016865566141414143,30.375396745150567,31.658901,10.126957558922545,876.0,0.0017190050505051513
B033,1.0806714494949494,1.0793804,1.0778366,0.016167064252525253,33.08050304573434,37.14436,10.129902676767715,731.0,0.0012910494949494034
B034,1.0954916464646465,1.0937657,1.0924908,0.016483775656565655,33.671697614422236,38.728722,10.129993047138068,757.0,0.0017259464646464107
B035,1.0800699888888887,1.0794187,1.0766174,0.01685519708080808,32.66455167507312,37.240925,11.035507962962974,742.0,0.000651288888888768
B036,1.0745076737373738,1.0739936,1.0707464,0.016967092292929295,32.09733437854188,36.075569,11.036444074074083,703.0,0.0005140737373736659
